run,idx,step_e,avg_reward,avg_loss
contractorinactive,0,0,-3469.1666666666665,-0.40298071801662444
contractorinactive,1,12,-3744.9166666666665,-0.20251163020730018
contractorinactive,2,24,-3492.6666666666665,-0.31343080997467043
contractorinactive,3,36,-3403.9166666666665,-0.37650911808013915
contractorinactive,4,48,-3782.1666666666665,-0.2813110530376434
contractorinactive,5,60,-3938.3333333333335,-0.26019875705242157
contractorinactive,6,72,-3789.0,-0.34585908651351926
contractorinactive,7,84,-3576.0,-0.18276635259389878
contractorinactive,8,96,-3753.9166666666665,-0.141273395717144
contractorinactive,9,108,-3479.6666666666665,0.8375130653381347
contractorinactive,10,120,-3429.0,-0.0741128869354725
contractorinactive,11,132,-3486.25,0.2501309536397457
contractorinactive,12,144,-3433.5833333333335,-0.19264572113752365
contractorinactive,13,156,-2770.9166666666665,-0.4072334796190262
contractorinactive,14,168,-2976.6666666666665,0.8113591313362122
contractorinactive,15,180,-3030.75,0.05417164117097854
contractorinactive,16,192,-2917.6666666666665,-0.1425180047750473
contractorinactive,17,204,-3029.3333333333335,0.9039852321147919
contractorinactive,18,216,-2769.0,-0.31973657608032224
contractorinactive,19,228,-2659.8333333333335,-0.28025274351239204
contractorinactive,20,240,-2660.5833333333335,-0.08691532984375953
contractorinactive,21,252,-2422.75,-0.05198370069265366
contractorinactive,22,264,-2345.3333333333335,0.43071687817573545
contractorinactive,23,276,-2434.0,1.5100681900978088
contractorinactive,24,288,-2269.9166666666665,0.09672667384147644
contractorinactive,25,300,-2016.75,-0.34689042568206785
contractorinactive,26,312,-2409.5833333333335,1.5231005907058717
contractorinactive,27,324,-2149.0833333333335,0.1896610289812088
contractorinactive,28,336,-2182.5833333333335,1.8352808952331543
contractorinactive,29,348,-2138.3333333333335,0.015435665845870972
contractorinactive,30,360,-2188.25,-0.3433024764060974
contractorinactive,31,372,-1769.25,-0.21076445057988166
contractorinactive,32,384,-2168.1666666666665,-0.4681341588497162
contractorinactive,33,396,-1827.0833333333333,0.1624387264251709
contractorinactive,34,408,-1824.4166666666667,-0.5501893043518067
contractorinactive,35,420,-1618.9166666666667,0.4362775146961212
contractorinactive,36,432,-1790.6666666666667,1.2426967024803162
contractorinactive,37,444,-1822.25,1.7146770238876343
contractorinactive,38,456,-1709.4166666666667,0.7158345222473145
contractorinactive,39,468,-1444.9166666666667,-0.05225373208522797
contractorinactive,40,480,-1428.5833333333333,-0.07336142733693123
contractorinactive,41,492,-1674.25,1.4332175135612488
contractorinactive,42,504,-1562.0833333333333,-0.0664927177131176
contractorinactive,43,516,-1565.25,-0.4877554714679718
contractorinactive,44,528,-1384.3333333333333,0.2994324304163456
contractorinactive,45,540,-1546.9166666666667,1.7263087987899781
contractorinactive,46,552,-1610.0,-0.4238376557826996
contractorinactive,47,564,-1458.0833333333333,-0.2834620952606201
contractorinactive,48,576,-1679.6666666666667,-0.021716034784913064
contractorinactive,49,588,-1333.75,0.7537750244140625
contractorinactive,50,600,-1438.6666666666667,0.08658857941627503
contractorinactive,51,612,-1435.0833333333333,-0.2472026526927948
contractorinactive,52,624,-1096.25,-0.06835741251707077
contractorinactive,53,636,-1098.75,-0.22058429829776288
contractorinactive,54,648,-1208.4166666666667,0.4673969030380249
contractorinactive,55,660,-1171.25,3.807385969161987
contractorinactive,56,672,-1024.4166666666667,0.8051053166389466
contractorinactive,57,684,-1177.5833333333333,0.7729973196983337
contractorinactive,58,696,-1208.0833333333333,-0.18334059417247772
contractorinactive,59,708,-1168.3333333333333,-0.16026798039674758
contractorinactive,60,720,-1306.25,-0.29186055064201355
contractorinactive,61,732,-1096.0833333333333,-0.12725732401013373
contractorinactive,62,744,-1019.8333333333334,-0.3830578923225403
contractorinactive,63,756,-996.5,0.16686790585517883
contractorinactive,64,768,-1200.1666666666667,-0.13111247643828391
contractorinactive,65,780,-1043.5,-0.4267129898071289
contractorinactive,66,792,-1020.5,0.33247576132416723
contractorinactive,67,804,-1096.75,0.10187622010707856
contractorinactive,68,816,-1055.4166666666667,-0.3144688129425049
contractorinactive,69,828,-1033.75,0.2095796786248684
contractorinactive,70,840,-936.5833333333334,0.6036615133285522
contractorinactive,71,852,-903.1666666666666,-0.07411081157624722
contractorinactive,72,864,-917.0833333333334,0.028814684599637985
contractorinactive,73,876,-1052.5833333333333,3.7535497188568114
contractorinactive,74,888,-822.5,-0.02954453192651272
contractorinactive,75,900,-968.0,1.753271484375
contractorinactive,76,912,-765.0833333333334,-0.0024675190448760985
contractorinactive,77,924,-806.3333333333334,-0.16133421808481216
contractorinactive,78,936,-763.1666666666666,0.34100460410118105
contractorinactive,79,948,-774.75,1.8608582019805908
contractorinactive,80,960,-814.25,1.1800155878067016
contractorinactive,81,972,-724.5833333333334,0.102638029307127
contractorinactive,82,984,-715.0,-0.31596554517745973
contractorinactive,83,996,-773.1666666666666,1.3541622281074523
contractorinactive,84,1008,-736.3333333333334,-0.5404536008834839
contractorinactive,85,1020,-851.8333333333334,-0.3883545994758606
contractorinactive,86,1032,-706.0833333333334,0.655593478679657
